,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude,Date
423,laukaa,20.75,94,100,7.2,58.7372,29.8453,1638567591
424,viedma,61.97,37,80,13.22,-40.8135,-62.9967,1638567811
425,aksu,25.05,51,93,0.63,41.1231,80.2644,1638567561
426,virginia beach,54.95,59,1,1.01,36.8529,-75.978,1638567602
427,alta floresta,72.25,99,100,3.83,-9.8756,-56.0861,1638567814
428,sao filipe,75.83,68,87,13.2,14.8961,-24.4956,1638567815
429,brae,42.71,74,49,6.33,60.3964,-1.353,1638567816
430,muisne,76.26,84,98,8.61,0.6,-80.0333,1638567817
431,biak,77.43,82,100,1.39,-0.9131,122.8766,1638567818
432,qandala,75.52,61,1,4.03,11.472,49.8728,1638567819
433,ayagoz,30.29,96,100,5.48,47.9714,80.4392,1638567820
434,skelleftea,26.01,58,90,4,64.7507,20.9528,1638567821
435,saint-pierre,75.54,73,0,5.75,-21.3393,55.4781,1638567822
436,sakaiminato,44.58,76,75,17.27,35.55,133.2333,1638567823
437,elizabeth city,55.17,62,1,9.22,36.2946,-76.2511,1638567824
438,norristown,46.31,53,1,5.01,40.1215,-75.3399,1638567826
439,ndele,80.53,33,87,3.89,8.4109,20.6473,1638567827
440,yar-sale,-10.95,92,100,9.37,66.8333,70.8333,1638567828
441,kyra,11.59,89,10,3.89,49.5776,111.9753,1638567829
442,batagay-alyta,-42.2,94,9,2.91,67.8006,130.4114,1638567830
443,zinder,72.52,18,10,8.97,13.8072,8.9881,1638567831
444,chaman,51.13,25,0,6.38,30.9236,66.4512,1638567832
445,hofn,30.87,54,9,10.09,64.2539,-15.2082,1638567833
446,mecca,73.26,50,0,1.5,21.4267,39.8261,1638567834
447,peniche,54.41,80,53,5.14,39.3558,-9.3811,1638567835
448,djambala,70.3,86,100,1.68,-2.5447,14.7533,1638567837
449,hambantota,77.58,84,73,2.84,6.1241,81.1185,1638567838
450,andapa,66.58,99,20,1.66,-14.65,49.65,1638567839
451,corn island,80.64,82,100,18.39,12.1694,-83.0418,1638567840
452,west wendover,43.81,57,1,4.61,40.7391,-114.0733,1638567841
453,rungata,,,,,,,
454,vaitape,81.48,69,21,20.04,-16.5167,-151.75,1638567843
455,kalianget,79.57,80,85,2.53,-7.05,113.9333,1638567844
456,saint-augustin,38.12,99,100,9.46,51.226,-58.6502,1638567845
457,santiago de cuba,82.51,74,40,6.91,20.0247,-75.8219,1638567846
458,bandundu,74.35,91,100,4.14,-3.3167,17.3667,1638567847
459,marcona,,,,,,,
460,henties bay,61.86,89,0,7.36,-22.116,14.2845,1638567570
461,port said,66.18,68,20,5.75,31.2565,32.2841,1638567850
462,talnakh,-23.8,98,100,11.72,69.4865,88.3972,1638567851
463,qaqortoq,16.3,63,93,10.94,60.7167,-46.0333,1638567852
464,bemidji,31.15,53,1,18.41,47.4736,-94.8803,1638567723
465,vitina,38.57,79,75,5.79,43.2375,17.4839,1638567854
466,fort nelson,-8.01,71,40,2.3,58.8053,-122.7002,1638567855
467,fort saint john,,,,,,,
468,akyab,74.37,73,69,5.06,20.15,92.9,1638567857
469,boa vista,87.78,51,40,12.66,2.8197,-60.6733,1638567858
470,da nang,62.58,94,40,3.44,16.0678,108.2208,1638567859
471,preili,23.11,93,97,9.15,56.2944,26.7246,1638567861
472,samsun,48.96,57,0,4.61,41.25,36.3333,1638567862
473,aloleng,77.23,63,97,13.33,16.1307,119.7824,1638567863
474,kavieng,83.48,74,81,8.03,-2.5744,150.7967,1638567864
475,ranot,77.02,86,100,8.19,7.7777,100.3213,1638567865
476,san isidro,69.26,78,40,8.99,-12.1167,-77.05,1638567866
477,esna,59.02,34,42,5.08,25.2934,32.554,1638567867
478,campbell river,38.55,75,40,1.01,50.0163,-125.2446,1638567868
479,knarvik,32.34,91,100,5.99,60.5422,5.2883,1638567869
480,saryshagan,,,,,,,
481,bubanza,67.91,90,98,4.09,-3.1167,29.4,1638567871
482,coffs harbour,76.96,73,0,10.36,-30.3,153.1333,1638567873
483,colatina,70.84,94,90,5.82,-19.5394,-40.6306,1638567874
484,darab,52.05,68,3,1.05,28.7519,54.5444,1638567875
485,waipawa,60.84,64,100,7.9,-41.4122,175.5153,1638567876
486,pasaje,76.71,75,83,2.01,-3.3333,-79.8167,1638567877
487,visnes,32.22,100,90,21.85,59.3556,5.2242,1638567878
488,camden,47.21,53,17,1.99,39.7835,-74.9663,1638567879
489,olafsvik,35.55,72,100,3.2,64.8945,-23.7142,1638567881
490,petrolia,36.73,60,90,5.75,42.8668,-82.1498,1638567882
491,pasighat,63.03,65,100,2.86,28.0667,95.3333,1638567883
492,aksehir,42.87,80,99,5.53,38.3575,31.4164,1638567884
493,tokur,-28.61,100,64,2.75,53.1333,132.9,1638567885
494,ulladulla,61.56,91,100,5.46,-35.35,150.4667,1638567886
495,cordoba,80.94,34,0,19.57,-31.4135,-64.1811,1638567842
496,culebra,81.55,76,56,13.27,18.303,-65.301,1638567888
497,lincoln,58.82,42,1,3,40.8,-96.667,1638567792
498,lanigan,24.69,77,6,15.82,51.8501,-105.0344,1638567890
499,vila velha,71.94,94,90,8.01,-20.3297,-40.2925,1638567891
500,namtsy,-43.49,99,91,4.32,62.7161,129.6658,1638567892
501,south lake tahoe,55.47,42,1,4.61,38.9332,-119.9844,1638567893
502,denpasar,79.72,88,75,2.3,-8.65,115.2167,1638567738
503,moree,77.02,73,2,11.5,-29.4667,149.85,1638567895
504,guanica,78.08,88,51,1.01,17.9716,-66.908,1638567896
505,sandwick,42.62,81,40,8.05,60,-1.25,1638567897
506,den helder,43.65,93,75,11.99,52.9599,4.7593,1638567899
507,whitehorse,0.34,70,90,10,60.7161,-135.0538,1638567867
508,rabat,44.67,100,0,0,33.9911,-6.8401,1638567901
509,barabinsk,21.54,91,91,15.84,55.3571,78.357,1638567902
510,san julian,75.2,22,4,3.85,21.0167,-102.1667,1638567903
511,wajima,42.67,94,99,11.72,37.4,136.9,1638567904
512,tricase,53.44,84,100,4.03,39.9304,18.3553,1638567905
513,vostok,-4.4,98,93,3.27,46.4856,135.8833,1638567906
514,russell,71.47,55,1,3.44,32.3502,-85.1999,1638567907
515,tshikapa,70.39,97,100,0.87,-6.4167,20.8,1638567908
516,college,-28.08,73,1,3.44,64.8569,-147.8028,1638567865
517,tamandare,79.32,84,18,10.63,-8.7597,-35.1047,1638567910
518,itarema,80.96,79,36,14.9,-2.9248,-39.9167,1638567911
519,banda aceh,76.46,86,100,11.61,5.5577,95.3222,1638567912
520,vila do maio,74.19,69,65,20.29,15.1333,-23.2167,1638567913
521,eyl,76.21,64,2,14.12,7.9803,49.8164,1638567914
522,ola,-1.86,78,100,13.2,59.5833,151.2833,1638567916
523,iquitos,82.44,83,75,5.75,-3.7481,-73.2472,1638567917
524,mentok,,,,,,,
525,ulaangom,5.47,93,100,3.27,49.9811,92.0667,1638567919
526,ancud,63.93,65,4,4.27,-41.8697,-73.8203,1638567920
527,nabire,77.83,89,100,2.53,-3.3667,135.4833,1638567921
528,lhokseumawe,74.03,90,100,1.25,5.1801,97.1507,1638567922
529,tra vinh,69.03,93,87,4.52,9.9347,106.3453,1638567923
530,mahibadhoo,80.8,79,8,6.67,3.7833,72.9667,1638567924
531,rantepao,68.22,95,100,2.48,-2.9701,119.8978,1638567925
532,klaksvik,32.92,67,41,5.06,62.2266,-6.589,1638567926
533,sao jose da coroa grande,79.61,83,24,11.72,-8.8978,-35.1478,1638567928
534,doctor pedro p. pena,,,,,,,
535,guerrero negro,69.37,58,2,14.94,27.9769,-114.0611,1638567930
536,heide,39.45,95,100,17.98,54.2,9.1,1638567931
537,carutapera,78.64,83,100,6.02,-1.195,-46.02,1638567932
538,kirensk,26.83,71,95,13.15,57.7853,108.1119,1638567933
539,kirpilskaya,47.75,74,73,9.75,45.377,39.6931,1638567934
540,lagoa,64.09,82,87,9.78,39.05,-27.9833,1638567935
541,liverpool,42.87,91,75,1.99,53.4106,-2.9779,1638567873
542,hami,23.88,61,0,2.82,42.8,93.45,1638567937
543,port hedland,77.05,78,8,3.44,-20.3167,118.5667,1638567938
544,camacupa,62.04,94,100,1.72,-12.0167,17.4833,1638567939
545,cairns,83.62,73,100,10.36,-16.9167,145.7667,1638567941
546,laguna,62.35,100,90,0,38.421,-121.4238,1638567942
547,dunedin,54.81,66,100,3,-45.8742,170.5036,1638567943
548,dalby,72.3,67,0,1.36,-27.1833,151.2667,1638567944
549,victoria point,78.69,79,2,1.99,-27.5833,153.3,1638567945
550,martonvasar,28.63,70,3,3.98,47.316,18.7904,1638567946
551,le port,78.69,82,8,4.59,-20.9373,55.2919,1638567947
552,aylmer,35.89,68,100,5.17,42.7668,-80.983,1638567948
553,galiwinku,,,,,,,
554,maragheh,32.27,69,0,9.22,37.3917,46.2398,1638567950
555,koulikoro,76.23,17,10,7.61,14,-7.75,1638567952
556,paita,75.76,77,64,14.83,-5.0892,-81.1144,1638567953
557,moose factory,4.98,56,1,12.66,51.2585,-80.6094,1638567954
558,labrea,77.27,93,89,2.24,-7.2586,-64.7981,1638567955
559,chuguyevka,11.23,95,100,4.21,44.1653,133.8633,1638567956
560,batticaloa,77.05,85,81,3.11,7.7102,81.6924,1638567957
561,paamiut,20.8,64,100,14.47,61.994,-49.6678,1638567958
562,suluq,61.95,36,86,8.88,31.6682,20.2521,1638567959
563,mabaruma,80.6,83,75,9.22,8.2,-59.7833,1638567960
564,bongandanga,71.98,98,100,1.39,1.5,21.05,1638567962
565,camalu,69.42,64,2,9.95,30.85,-116.0667,1638567963
566,sovetskiy,9.81,91,43,6.89,61.3614,63.5842,1638567964
567,oriximina,78.91,77,84,1.86,-1.7656,-55.8661,1638567965
568,chiang khong,57.52,82,35,2.13,20.2613,100.4046,1638567966
569,senador jose porfirio,79.7,78,99,0.43,-2.5908,-51.9542,1638567967
570,pakxan,51.13,71,50,3.83,18.3778,103.6601,1638567968
571,putina,51.75,64,85,7.27,-15.4667,-69.4333,1638567969
572,gambela,82.47,41,81,1.48,8.25,34.5833,1638567971
573,maralal,57.49,88,33,5.97,1.0968,36.698,1638567972
574,verkhoyansk,-48.62,100,69,0.65,67.5447,133.385,1638567973
575,sao desiderio,74.95,81,87,1.9,-12.3633,-44.9733,1638567974
576,almaznyy,44.74,73,91,15.17,48.0448,40.045,1638567975
577,maymanak,,,,,,,
578,nicolas bravo,81.48,69,51,5.01,18.45,-88.9167,1638567977
579,henderson,69.87,23,1,0,36.0397,-114.9819,1638567819
580,wahran,,,,,,,
581,panji,76.17,87,100,3.96,-7.7253,114.0995,1638567980
582,bud,55.94,66,0,4.9,39.447,-86.1758,1638567981
583,almeirim,83.97,61,100,2.28,-1.5233,-52.5817,1638567982
584,hasaki,34.2,66,0,9.04,35.7333,140.8333,1638567983
585,gotsu,45.16,60,73,18.03,35,132.2167,1638567985
586,sibolga,75.92,88,99,3.18,1.7427,98.7792,1638567986
587,rexburg,46.27,62,20,8.05,43.826,-111.7897,1638567967
588,clinton,36.9,78,75,4.61,42.587,-82.9199,1638567988
589,sinazongwe,82.71,52,18,4.65,-17.2614,27.4618,1638567989
590,pudozh,8.67,90,100,12.8,61.8099,36.5345,1638567990
591,luganville,82.71,76,77,10.4,-15.5333,167.1667,1638567991
592,port keats,85.01,80,100,6.91,-14.25,129.55,1638567992
593,muyezerskiy,7.92,82,58,10.38,63.9333,31.65,1638567993
594,tilichiki,21.07,77,44,18.79,60.4667,166.1,1638567994
595,dasoguz,37.35,70,0,11.5,41.8363,59.9666,1638567995
596,zandvoort,40.8,92,75,12.66,52.3749,4.5341,1638567979
597,salalah,73.49,56,0,3.44,17.0151,54.0924,1638567997
598,mme,,,,,,,
599,ambon,75.34,94,40,6.91,-3.6954,128.1814,1638567999
600,zhigansk,-35.32,97,88,13.73,66.7697,123.3711,1638568000
601,varnamo,23.94,95,100,11.39,57.186,14.04,1638568001
602,namatanai,81.73,82,97,7.16,-3.6667,152.4333,1638568003
603,arzgir,38.7,92,2,5.5,45.3728,44.2206,1638568004
604,lasa,25.88,48,51,3.49,46.6166,10.7002,1638568005
605,cravo norte,84.45,59,83,5.61,6.3017,-70.2041,1638568006
606,guarapari,71.89,87,95,6.82,-20.6667,-40.4975,1638568007
607,saint andrews,75.88,36,20,9.22,34.0454,-81.1293,1638568008
608,ixtapa,82.22,81,3,5.99,20.7,-105.2,1638568009
609,tabas,49.71,67,31,4.03,33.5959,56.9244,1638568010
610,walvis bay,59.95,88,0,4.61,-22.9575,14.5053,1638568011
611,farmington,57.11,29,1,8.05,36.7281,-108.2187,1638567980
612,kyren,18.79,67,7,3.22,51.6828,102.1408,1638568013
613,ilebo,71.58,95,100,1.1,-4.3167,20.5833,1638568014
614,uk,,,,,,,
615,fredericksburg,53.02,47,1,1.99,38.3032,-77.4605,1638568016
616,villa maria,78.26,40,93,7.38,-32.4075,-63.2402,1638568018
617,casa branca,83.23,65,30,7.99,-21.7739,-47.0864,1638568019
